t	0.353553	0.176777	0.0883883	0.0441942	0.0220971	0.0110485			0.353553	0.176777	0.0883883	0.0441942	0.0220971	0.0110485
0.0003125	1.12048	0.6344	0.325971	0.164593	0.0829511	0.0422913			0.0289507	0.00735691	0.00194947	0.000868787	0.000741945	0.000729901
0.00015625	1.12227	0.63438	0.325882	0.164404	0.0825722	0.0415422			0.028936	0.00731402	0.00183293	0.000590426	0.000392552	0.000372926
6.25e-005	1.1234	0.634376	0.325857	0.164349	0.082461	0.0413205			0.0289299	0.00729332	0.00178985	0.000471991	0.000191102	0.000153956
3.125e-005	1.12378	0.634377	0.325854	0.164341	0.0824446	0.041288			0.0289283	0.00728732	0.00178067	0.000449162	0.000136579	8.17E-05
1.5625e-005	1.12397	0.634377	0.325853	0.164339	0.0824405	0.0412797			0.0289276	0.0072845	0.00177712	0.000441904	0.000117669	4.80E-05
6.25e-006	1.12408	0.634378	0.325853	0.164339	0.0824393	0.0412774			0.0289271	0.00728287	0.00177532	0.000438987	0.000110897	3.20E-05
3.125e-006	1.12412	0.634378	0.325853	0.164338	0.0824391	0.0412771			0.028927	0.00728234	0.00177478	0.000438262	0.000109574	2.87E-05
1.5625e-006	1.12414	0.634378	0.325853	0.164338	0.082439	0.041277			0.0289269	0.00728207	0.00177452	0.000437946	0.0001091	2.77E-05
6.25e-007	1.12415	0.634378	0.325853	0.164338	0.082439	0.041277			0.0289269	0.00728191	0.00177437	0.000437771	0.000108876	2.73E-05

